Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Essential Cotton Crew T-Shirt,essential-cotton-crew-t-shirt,A soft everyday crew-neck T-shirt made from breathable cotton. Cut in a comfortable regular fit for easy casual styling.,Northstar Apparel,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"Clothing, T-Shirts, Black, New Arrival",TRUE,Active,ECT-BLK-S,629110000101,Size,Small,,,,,,,,24.99,29.99,10.50,TRUE,,,,,,shopify,24,DENY,180,g,TRUE,manual,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1200&q=85,1,Black essential cotton crew neck T-shirt,,FALSE,Essential Cotton Crew T-Shirt | Northstar Apparel,A soft everyday crew-neck T-shirt made from breathable cotton. Cut in a comfortable regular fit for easy casual styling.,black,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),ECT-BLK,T-Shirts,Dummy Catalog,New,FALSE,New Arrival,Black,,,
,essential-cotton-crew-t-shirt,,,,,,,,ECT-BLK-M,629110000102,,Medium,,,,,,,,24.99,29.99,10.50,TRUE,,,,,,shopify,18,DENY,180,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,essential-cotton-crew-t-shirt,,,,,,,,ECT-BLK-L,629110000103,,Large,,,,,,,,24.99,29.99,10.50,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Classic Fleece Pullover Hoodie,classic-fleece-pullover-hoodie,"A warm fleece pullover hoodie with a roomy kangaroo pocket, adjustable drawcord, and ribbed cuffs for daily comfort.",Northstar Apparel,Apparel & Accessories > Clothing > Shirts & Tops,Hoodies & Sweatshirts,"Clothing, Hoodies & Sweatshirts, Heather Gray, New Arrival",TRUE,Active,CFH-GRY-S,629110000201,Size,Small,,,,,,,,54.99,64.99,25.00,TRUE,,,,,,shopify,25,DENY,620,g,TRUE,manual,https://images.unsplash.com/photo-1556821840-3a63f95609a7?auto=format&fit=crop&w=1200&q=85,1,Heather gray fleece pullover hoodie,,FALSE,Classic Fleece Pullover Hoodie | Northstar Apparel,"A warm fleece pullover hoodie with a roomy kangaroo pocket, adjustable drawcord, and ribbed cuffs for daily comfort.",gray,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),CFH-GRY,Hoodies & Sweatshirts,Dummy Catalog,New,FALSE,New Arrival,Heather Gray,,,
,classic-fleece-pullover-hoodie,,,,,,,,CFH-GRY-M,629110000202,,Medium,,,,,,,,54.99,64.99,25.00,TRUE,,,,,,shopify,19,DENY,620,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,classic-fleece-pullover-hoodie,,,,,,,,CFH-GRY-L,629110000203,,Large,,,,,,,,54.99,64.99,25.00,TRUE,,,,,,shopify,13,DENY,620,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
High-Rise Straight Leg Jeans,high-rise-straight-leg-jeans,Classic five-pocket denim with a flattering high rise and straight leg. The cotton-rich fabric includes a touch of stretch.,Northstar Apparel,Apparel & Accessories > Clothing > Pants,Jeans,"Clothing, Jeans, Mid Blue, New Arrival",TRUE,Active,HSJ-BLU-S,629110000301,Size,Small,,,,,,,,69.99,84.99,31.00,TRUE,,,,,,shopify,26,DENY,720,g,TRUE,manual,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=1200&q=85,1,Mid blue high-rise straight leg jeans,,FALSE,High-Rise Straight Leg Jeans | Northstar Apparel,Classic five-pocket denim with a flattering high rise and straight leg. The cotton-rich fabric includes a touch of stretch.,blue,Apparel & Accessories > Clothing > Pants,Unisex,Adult (13+ years old),HSJ-BLU,Jeans,Dummy Catalog,New,FALSE,New Arrival,Mid Blue,,,
,high-rise-straight-leg-jeans,,,,,,,,HSJ-BLU-M,629110000302,,Medium,,,,,,,,69.99,84.99,31.00,TRUE,,,,,,shopify,20,DENY,720,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,high-rise-straight-leg-jeans,,,,,,,,HSJ-BLU-L,629110000303,,Large,,,,,,,,69.99,84.99,31.00,TRUE,,,,,,shopify,14,DENY,720,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Relaxed Linen Button-Up Shirt,relaxed-linen-button-up-shirt,"A lightweight linen-blend shirt with a relaxed silhouette, classic collar, and button front. Ideal for warm-weather layering.",Northstar Apparel,Apparel & Accessories > Clothing > Shirts & Tops,Shirts,"Clothing, Shirts, White, New Arrival",TRUE,Active,RLS-WHT-S,629110000401,Size,Small,,,,,,,,49.99,59.99,22.00,TRUE,,,,,,shopify,27,DENY,240,g,TRUE,manual,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?auto=format&fit=crop&w=1200&q=85,1,White relaxed linen button-up shirt,,FALSE,Relaxed Linen Button-Up Shirt | Northstar Apparel,"A lightweight linen-blend shirt with a relaxed silhouette, classic collar, and button front. Ideal for warm-weather layering.",white,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),RLS-WHT,Shirts,Dummy Catalog,New,FALSE,New Arrival,White,,,
